incident_id,created_date,resolved_date,priority,category,assigned_team,sla_breached,reopen_count,resolution_minutes
1,2024-05-07 11:34:00,2024-05-07 17:11:00,Low,Application,Infra_Team,0,1,337
2,2024-05-31 22:14:00,2024-06-01 09:11:00,Low,Database,Infra_Team,1,0,657
3,2024-02-01 13:10:00,2024-02-01 15:12:00,Low,Application,DB_Team,0,0,122
4,2024-03-20 13:47:00,2024-03-20 17:48:00,High,Security,App_Team,1,0,241
5,2024-05-09 15:21:00,2024-05-10 06:07:00,Low,Application,Support_Team,1,0,886
6,2024-01-22 17:38:00,2024-01-23 00:38:00,High,Access,Security_Team,1,1,420
7,2024-04-23 03:51:00,2024-04-23 06:15:00,Low,Application,Support_Team,0,0,144
8,2024-05-05 07:08:00,2024-05-05 09:18:00,Medium,Security,DB_Team,1,0,130
9,2024-04-02 21:15:00,2024-04-03 04:02:00,Low,Application,Support_Team,0,0,407
10,2024-06-27 00:47:00,2024-06-27 12:08:00,Low,Access,Security_Team,1,0,681
11,2024-05-02 17:19:00,2024-05-02 21:27:00,Low,Access,App_Team,0,0,248
12,2024-04-17 12:26:00,2024-04-17 19:44:00,Low,Database,Infra_Team,0,1,438
13,2024-06-16 07:51:00,2024-06-16 16:30:00,Low,Application,DB_Team,0,0,519
14,2024-05-25 13:38:00,2024-05-25 13:55:00,Medium,Network,DB_Team,0,0,17
15,2024-03-08 01:06:00,2024-03-08 03:20:00,Low,Application,App_Team,0,0,134
16,2024-06-21 06:12:00,2024-06-22 00:02:00,Medium,Network,DB_Team,1,2,1070
17,2024-05-30 08:42:00,2024-05-30 09:18:00,Medium,Application,Infra_Team,0,0,36
18,2024-03-15 17:48:00,2024-03-16 00:45:00,Low,Application,Security_Team,0,0,417
19,2024-06-12 17:56:00,2024-06-12 22:02:00,Medium,Network,Infra_Team,1,0,246
20,2024-05-16 04:55:00,2024-05-17 09:43:00,Low,Application,Security_Team,1,0,1728
21,2024-01-30 20:11:00,2024-01-31 09:13:00,Low,Application,Support_Team,1,0,782
22,2024-02-14 16:53:00,2024-02-15 01:41:00,Low,Application,App_Team,0,0,528
23,2024-01-15 03:00:00,2024-01-15 04:13:00,Medium,Database,Security_Team,1,2,73
24,2024-03-16 21:30:00,2024-03-18 00:31:00,Low,Access,Infra_Team,1,0,1621
25,2024-06-09 07:59:00,2024-06-10 14:34:00,Low,Security,App_Team,1,0,1835
26,2024-04-15 09:06:00,2024-04-15 11:43:00,Low,Database,Security_Team,0,0,157
27,2024-04-07 19:19:00,2024-04-07 20:06:00,High,Network,Infra_Team,1,0,47
28,2024-01-07 11:58:00,2024-01-07 12:35:00,High,Access,Infra_Team,1,1,37
29,2024-02-26 14:17:00,2024-02-26 14:56:00,High,Application,Security_Team,1,0,39
30,2024-03-28 03:22:00,2024-03-28 05:11:00,Low,Application,Security_Team,0,1,109
31,2024-05-29 11:23:00,2024-05-30 13:23:00,Medium,Network,App_Team,1,1,1560
32,2024-04-19 06:05:00,2024-04-19 06:06:00,Medium,Network,DB_Team,0,1,1
33,2024-03-27 18:34:00,2024-03-28 10:14:00,Low,Application,DB_Team,1,1,940
34,2024-03-18 01:14:00,2024-03-18 06:33:00,Low,Application,Security_Team,0,0,319
35,2024-06-12 22:05:00,2024-06-13 21:56:00,Low,Application,Infra_Team,1,0,1431
36,2024-06-12 21:21:00,2024-06-12 23:45:00,Medium,Access,App_Team,1,0,144
37,2024-06-05 07:33:00,2024-06-05 12:01:00,Low,Access,Infra_Team,0,0,268
38,2024-03-11 19:37:00,2024-03-12 03:27:00,Medium,Application,App_Team,1,0,470
39,2024-03-21 00:11:00,2024-03-22 02:22:00,Low,Database,App_Team,1,0,1571
40,2024-04-09 15:02:00,2024-04-09 15:17:00,High,Application,DB_Team,1,0,15
41,2024-05-11 00:18:00,2024-05-11 08:52:00,Medium,Application,Security_Team,1,0,514
42,2024-05-13 10:43:00,2024-05-14 04:24:00,Low,Security,Security_Team,1,0,1061
43,2024-02-27 17:10:00,2024-02-27 21:36:00,Medium,Security,Infra_Team,1,0,266
44,2024-05-14 19:50:00,2024-05-14 19:59:00,Medium,Network,DB_Team,0,0,9
45,2024-03-30 14:52:00,2024-03-30 15:14:00,Low,Network,App_Team,0,0,22
46,2024-05-22 01:48:00,2024-05-22 06:19:00,Low,Application,Support_Team,0,0,271
47,2024-02-07 21:12:00,2024-02-08 11:29:00,Medium,Database,DB_Team,1,0,857
48,2024-02-20 03:59:00,2024-02-20 10:19:00,Low,Application,Support_Team,0,1,380
